what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177094138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177096704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177372672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177373189
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177395831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177397722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177402293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177402753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177407289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177409281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177456659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177457321
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177458753
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289177462515
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289177462745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177479271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177495347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289177514966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177516763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177518203
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289177527163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177539133
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177548843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177549933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177560003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289177565995
